letter_pair	edgeAlg
AB	"R2 U': S, R2"
AD	"L2 U: S', L2"
AE	U' M: U'/M'
AF	U'/R' E R
AG	U/L E L'
AH	U'/R E' R'
AJ	"R' U': S, R2"
AK	"R' F': R U R', E"
AL	"L U: S', L2"
AM	U M: U/M'
AN	U/L' E L
AO	U'/R' E' R
AP	U/L E' L'
AQ	x
AR	"L' U: S', L2"
AS	U M': U/M'
AT	"R U': S, R2"
AU	"U2, M'"
AV	"U': S, R2"
AW	"M, U2"
AX	"U: S', L2"
BA	"R2 U': R2, S"
BD	M2: U/M
BE	"S', L F' L'"
BF	"U', R' E R"
BG	"U: L E L', U"
BH	"U', R E' R'"
BJ	"E': U', R' E R"
BK	"M', R U' R' U"
BL	"U', R E2 R'"
BM	x
BN	"U: L' E L, U"
BO	"U', R' E' R"
BP	"U: L E' L', U"
BQ	"M, R' U' R U"
BR	"U', R' E2 R"
BS	U M U M' U M U M'
BT	"E: U', R E' R'"
BU	"M U2 M, U"
BV	"U', R E' R2 E R"
BW	R U R': U'/M
BX	l F: L'/S'
DA	"L2 U: L2, S'"
DB	M2: U'/M
DE	x
DF	"U': R' E R, U'"
DG	"U, L E L'"
DH	"U': R E' R', U'"
DJ	"U, L' E2 L"
DK	"M', L' U L U'"
DL	"E: U, L E' L'"
DM	"S, R' F R"
DN	"U, L' E L"
DO	"U': R' E' R, U'"
DP	"U, L E' L'"
DQ	"M, L U L' U'"
DR	"E': U, L' E L"
DS	U' M U' M' U' M U' M'
DT	"U, L E2 L'"
DU	"M U2 M, U'"
DV	U R U R' U' R' U' R' U R
DW	U l: U'/R' E R
DX	"U, L' E L2 E' L'"
EA	U' M: U/M'
EB	"L F' L', S'"
ED	x
EF	"S: U', R' E R"
EG	l' U: L'/S'
EH	"S: U', R E' R'"
EJ	S' U: L'/E'
EK	"U' D: S', R' F R"
EL	"r U: r' E r, U"
EM	M: U/M'
EN	r': U/M'
EO	R' F: R/S
EP	R M: U/M'
EQ	"L' U' L U, M'"
ER	U' l: U/M'
ES	D' R' F: R/S
ET	"M': U', L' E L"
EU	"L' F': L2, E'"
EV	"r: U', L E' L'"
EW	"D: L F' L', S"
EX	"L F' L', S"
FA	U/R' E R
FB	"R' E R, U'"
FD	"U2: R' E R, U"
FE	"S: R' E R, U'"
FG	"L, U S' U'"
FH	M' U: L/S'
FJ	"E, R U' R'"
FK	"M2: U' L' U, M"
FL	x
FM	"U' r': R U' R', E"
FN	r U: R'/E
FO	M' U: R'/E
FP	U E: R'/S
FQ	"U' L' U, M'"
FR	"E', L U L'"
FS	"U' M: U, R' E R"
FT	"R': R' E R, U'"
FU	"U R' F2: R S R', F"
FV	U' E': R/E'
FW	M/U' L' U
FX	U E: L/E'
GA	U'/L E L'
GB	"U2: L E L', U'"
GD	"L E L', U"
GE	l' U: L/S'
GF	"U S' U', L"
GH	"U S' U', L'"
GJ	"U: L F2 L', S"
GK	"U: L F L', S"
GL	S' U': R/E
GM	L F': L/S'
GN	"L F': E, L2"
GO	R' F: R'/S'
GP	M' U': L'/E'
GQ	"U' D: S, R' F' R"
GR	S' U': R'/E'
GS	"U: L' B' L, S"
GT	"L E: L' U L, E"
GU	"L F: E', L2"
GV	"L' F' L, S"
